Row,Num_Columns
0,951
1,962
2,968
3,966
4,961
5,961
6,962
7,962
8,967
9,971
10,975
11,973
12,976
13,979
14,979
15,978
16,975
17,971
18,972
19,963
20,964
21,965
22,961
23,964
24,966
25,970
26,978
27,979
28,980
29,971
30,972
31,971
32,969
33,963
34,957
35,956
36,955
37,958
38,958
39,964
40,972
41,969
42,969
43,970
44,963
45,959
46,962
47,951
48,952
49,932
50,921
51,906
52,903
53,916
54,940
55,955
56,962
57,970
58,965
59,964
60,964
61,963
62,955
63,960
64,964
65,967
66,971
67,973
68,977
69,983
70,986
71,994
72,996
73,1006
74,1010
75,1003
76,996
77,983
78,972
79,967
80,966
81,965
82,960
83,960
84,960
85,961
86,957
87,958
88,953
89,948
90,950
91,954
92,949
93,950
94,955
95,966
96,994
97,1001
98,993
99,989
100,989
101,989
102,991
103,996
104,1001
105,1012
106,1014
107,1014
108,1008
109,1008
110,1007
111,1011
112,1010
113,1011
114,1017
115,1025
116,1020
117,1024
118,1026
119,1030
120,1028
121,1027
122,1022
123,1020
124,1015
125,1016
126,1017
127,1015
128,1014
129,1022
130,1022
131,1028
132,1032
133,1042
134,1043
135,1044
136,1050
137,1047
138,1041
139,1040
140,1040
141,1047
142,1036
143,1032
144,1025
145,1021
146,1014
147,1018
148,1013
149,1007
150,1010
151,1017
152,1016
153,1011
154,1018
155,1019
156,1019
157,1025
158,1030
159,1031
160,1044
161,1049
162,1053
163,1054
164,1051
165,1050
166,1039
167,1035
168,1035
169,1038
170,1042
171,1050
172,1055
173,1060
174,1054
175,1043
176,1036
177,1026
178,1016
179,1014
180,1017
181,1007
182,996
183,990
184,999
185,1004
186,1015
187,1026
188,1029
189,1033
190,1018
191,998
192,986
193,980
194,981
195,987
196,987
197,991
198,994
199,1001
200,993
201,999
202,991
203,989
204,992
205,997
206,985
207,988
208,995
209,989
210,994
211,977
212,980
213,967
214,960
215,958
216,965
217,966
218,971
219,985
220,1003
221,1007
222,1010
223,1012
224,1015
225,1018
226,1013
227,1020
228,1019
229,1019
230,1014
231,1014
232,1022
233,1031
234,1048
235,1055
236,1053
237,1048
238,1048
239,1044
240,1049
241,1052
242,1051
243,1054
244,1060
245,1070
246,1068
247,1070
248,1079
249,1081
250,1070
251,1066
252,1064
253,1062
254,1056
255,1054
256,1057
257,1058
258,1058
259,1054
260,1058
261,1058
262,1056
263,1067
264,1053
265,1048
266,1049
267,1056
268,1059
269,1062
270,1068
271,1065
272,1066
273,1056
274,1062
275,1065
276,1064
277,1064
278,1072
279,1073
280,1071
281,1072
282,1078
283,1082
284,1081
285,1083
286,1080
287,1077
288,1081
289,1081
290,1077
291,1071
292,1071
293,1071
294,1075
295,1083
296,1085
297,1090
298,1083
299,1070
300,1058
301,1050
302,1051
303,1052
304,1065
305,1066
306,1060
307,1049
308,1047
309,1040
310,1040
311,1047
312,1048
313,1057
314,1043
315,1036
